metricKey,sourceKey,term,observedValue,comparisonValue,reconciliationStatus,manuscriptUse,notes
journalCertiorariDispositionRows,journal-ot2023,OT2023,3951,,candidate_extract,row-level disposition seed only; not closed filing-cohort validation,One row per docket number parsed from official Journal certiorari disposition entries.
journalCertiorariUniqueDockets,journal-ot2023,OT2023,3950,,candidate_extract,row-level disposition seed only; not closed filing-cohort validation,Unique docket count can differ from row count when consolidated entries list multiple docket numbers.
journalCertiorariUniqueDispositionDates,journal-ot2023,OT2023,52,,candidate_extract,row-level disposition seed only; not closed filing-cohort validation,Distinct Journal date headings assigned to disposition entries.
journalCertiorariFirstDispositionDate,journal-ot2023,OT2023,20231002,,candidate_extract,row-level disposition seed only; not closed filing-cohort validation,"Earliest Journal date heading assigned to a disposition entry, formatted as YYYYMMDD for CSV consistency."
journalCertiorariLastDispositionDate,journal-ot2023,OT2023,20241004,,candidate_extract,row-level disposition seed only; not closed filing-cohort validation,"Latest Journal date heading assigned to a disposition entry, formatted as YYYYMMDD for CSV consistency."
journalCertiorariPaidDispositionRows,journal-ot2023,OT2023,1270,official OT2023 paid docketed during term = 1375,not_expected_to_match_term_flow,row-level disposition seed only; not closed filing-cohort validation,Disposition rows include prior-term carryover dockets and omit still-pending docketed matters.
journalCertiorariIfpDispositionRows,journal-ot2023,OT2023,2647,official OT2023 IFP docketed during term = 2847,not_expected_to_match_term_flow,row-level disposition seed only; not closed filing-cohort validation,Disposition rows include prior-term carryover dockets and omit still-pending docketed matters.
journalCertiorariApplicationOrMiscRows,journal-ot2023,OT2023,34,,review_boundary,row-level disposition seed only; not closed filing-cohort validation,Application or miscellaneous dockets are included only when the Journal text treats them as certiorari before judgment or certiorari-related entries.
journalCertiorariDeniedRows,journal-ot2023,OT2023,3773,,candidate_extract,row-level disposition seed only; not closed filing-cohort validation,Routine denied-petition dispositions parsed from Journal text.
journalCertiorariGrantedRows,journal-ot2023,OT2023,58,,candidate_extract,row-level disposition seed only; not closed filing-cohort validation,Rows where the parser found a grant without GVR/remand wording.
journalCertiorariGvrOrRemandRows,journal-ot2023,OT2023,57,,candidate_extract,row-level disposition seed only; not closed filing-cohort validation,Rows where the parser found certiorari granted plus vacated or remanded wording.
journalCertiorariDismissedRows,journal-ot2023,OT2023,63,,candidate_extract,row-level disposition seed only; not closed filing-cohort validation,Dismissal rows parsed from Journal certiorari entries.
journalCertiorariReviewRequiredRows,journal-ot2023,OT2023,0,,none_remaining,row-level disposition seed only; not closed filing-cohort validation,Rows whose certiorari entry was captured but whose disposition text needs manual review after parser classification.
journalCertiorariRowsWithDispositionDate,journal-ot2023,OT2023,3951,3951,matches_extract_rows,row-level disposition seed only; not closed filing-cohort validation,Disposition date comes from the Journal date heading nearest the entry.
journalCertiorariRowsWithLowerCourt,journal-ot2023,OT2023,3948,3951,partial_extract,row-level disposition seed only; not closed filing-cohort validation,Lower-court text is parsed from the Journal entry where visible.
