caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,amendmentRate,amendmentMovement,vetoes,overriddenVetoes
baseline,Baseline,Moderately polarized three-party legislature.,simple-majority,Unicameral simple majority,9000,60.000,2474,16.493,60.000,0.275,1.000,0.596,0.635,0.164,0.225,0.725,0.000,0.000,0.000,0.000,0.424,0.112,0.331,0.212,0.827,0.725,0.402,0.000,0.000,0.000,0.173,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,simple-majority-mediation,Unicameral majority + mediation,9000,60.000,3322,22.147,60.000,0.369,1.000,0.585,0.605,0.216,0.210,0.631,0.000,0.000,0.000,0.000,0.339,0.161,0.393,0.236,0.826,0.761,0.467,0.000,0.000,0.000,0.174,0.904,0.176,0,0
baseline,Baseline,Moderately polarized three-party legislature.,simple-majority-lobby-firewall,Unicameral majority + lobby firewall,9000,60.000,2536,16.907,60.000,0.282,1.000,0.608,0.642,0.171,0.235,0.718,0.000,0.000,0.000,0.000,0.392,0.113,0.324,0.194,0.838,0.790,0.360,0.000,0.000,0.000,0.162,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,supermajority-60,Unicameral 60 percent passage,9000,60.000,799,5.327,60.000,0.089,1.000,0.665,0.726,0.059,0.366,0.911,0.000,0.000,0.000,0.000,0.750,0.018,0.145,0.192,0.820,0.307,0.333,0.000,0.000,0.000,0.180,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass,Default pass unless 2/3 block,9000,60.000,7633,50.887,60.000,0.848,1.000,0.532,0.495,0.451,0.108,0.152,0.000,0.000,0.000,0.455,0.021,0.681,0.667,0.259,0.804,0.996,0.601,0.000,0.000,0.000,0.196,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-mediation,Default pass + mediated amendments,9000,60.000,8138,54.253,60.000,0.904,1.000,0.521,0.499,0.471,0.142,0.096,0.000,0.000,0.000,0.439,0.010,0.493,0.502,0.258,0.819,0.994,0.597,0.000,0.000,0.000,0.181,0.909,0.180,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-budgeted-lobbying,Default pass + budgeted lobbying,9000,60.000,7613,50.753,60.000,0.846,1.000,0.532,0.494,0.450,0.108,0.154,0.000,0.000,0.000,0.449,0.026,0.679,0.667,0.261,0.803,0.994,0.604,0.101,0.645,2.178,0.197,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-budgeted-lobbying-mediation,Default pass + budgeted lobbying + mediation,9000,60.000,8168,54.453,60.000,0.908,1.000,0.520,0.499,0.472,0.142,0.092,0.000,0.000,0.000,0.446,0.009,0.494,0.501,0.261,0.821,0.997,0.603,0.101,0.645,2.334,0.179,0.910,0.180,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-budgeted-lobbying-transparency,Default pass + budgeted lobbying + transparency,9000,60.000,7560,50.400,60.000,0.840,1.000,0.532,0.495,0.447,0.109,0.160,0.000,0.000,0.000,0.448,0.025,0.675,0.668,0.200,0.798,1.000,0.587,0.101,0.645,1.656,0.202,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-budgeted-lobbying-bundle,Default pass + budgeted lobbying + anti-capture bundle,9000,60.000,6842,45.613,57.540,0.760,0.959,0.537,0.515,0.408,0.115,0.240,0.041,0.000,0.000,0.442,0.032,0.602,0.656,0.179,0.813,0.962,0.443,0.101,0.645,1.344,0.187,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-anti-capture-bundle,Default pass + anti-capture bundle,9000,60.000,6875,45.833,57.593,0.764,0.960,0.537,0.515,0.410,0.115,0.236,0.040,0.000,0.000,0.446,0.033,0.607,0.660,0.179,0.814,0.960,0.443,0.000,0.000,0.000,0.186,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1977,13.180,13.287,0.220,0.221,0.586,0.659,0.129,0.243,0.780,0.534,0.244,0.000,0.205,0.505,0.073,0.253,0.204,0.861,0.647,0.372,0.000,0.000,0.000,0.139,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,5256,35.040,60.000,0.584,1.000,0.530,0.519,0.310,0.138,0.416,0.000,0.000,0.500,0.367,0.243,0.372,0.519,0.247,0.815,0.874,0.561,0.000,0.000,0.000,0.185,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,9000,60.000,2241,14.940,15.060,0.249,0.251,0.582,0.680,0.145,0.260,0.751,0.749,0.000,0.000,0.213,0.472,0.077,0.243,0.161,0.827,0.846,0.267,0.000,0.000,0.000,0.173,0.000,0.000,0,0
