metricKey,jurisdiction,timePeriod,lowerBound,upperBound,observedValue,rawObservedValue,numeratorSpec,denominatorSpec,confidenceLevel,validationUse,coverageScope,comparabilityClass,sourceName,sourceUrl,rawSection,reportName,notes
districtCourtAlignmentShockSameDirectionPP,United States,lower-court cases filed before and resolved after higher-court decisions; article published 2023,0.29,0.37,0.33,+29 to +37 percentage points,Probability eligible district-court case resolves in direction of higher court after new appellate precedent,Eligible pending district-court cases in same doctrinal area / merits setting in study design,High,strict_validation,Federal district-court response to geographically local appellate precedent,"direct mechanism, within-judiciary",Judicial Compliance in District Courts,IRLE article page (turn8search0),Validation and calibration rows,Supreme Court Simulator - Institutional Design Evidence,Best causal-looking micro estimate for hierarchical alignment; not a universal compliance coefficient because it is limited to binding local precedent and same-doctrinal-area cases.
federalAgencyNarrowComplianceShare,United States,1953–1990 Terms,0.068,0.068,0.068,6.8%,Observations coded as “narrow compliance”,220 agency implementations of Court opinions in analyzed sample,High,loose_calibration,Agency implementation of Supreme Court reversals/remands,related post-judgment implementation mechanism,Explaining Federal Bureaucratic Compliance with Supreme Court Opinions,PRQ article page (turn11search2),Validation and calibration rows,Supreme Court Simulator - Institutional Design Evidence,Useful for symbolic/partial compliance state. Same study reports agencies generally comply and found no policy changes in a 5% sample of affirmed decisions.
costaRicaOrdersTrackedShare,Costa Rica,orders issued Oct. 2009–Mar. 25 2013; status as of May 2 2013,0.973,0.973,0.973,97.3%,"11,052 orders tracked by compliance team","11,363 orders issued by Sala IV in covered period",High,strict_validation,Direct-order compliance monitoring in amparo and habeas corpus cases,"monitored implementation system, cross-national",The Costa Rican Supreme Court’s Compliance Monitoring System,Journal of Politics article page (turn32search1),Validation and calibration rows,Supreme Court Simulator - Institutional Design Evidence,Strong evidence for monitoring coverage in a constitutional-rights system.
costaRicaMeanMonthsToCompliance,Costa Rica,monitored cases after monitoring program launch in 2009,7,8.1,8.1,mean 8.1 months; median 7.0 months,Months orders spent in compliance-monitoring system prior to compliance or right censoring,Orders in monitored dataset,High,strict_validation,Time-to-compliance for direct court orders,monitored duration measure,The Costa Rican Supreme Court’s Compliance Monitoring System,Journal of Politics article page (turn32search1),Validation and calibration rows,Supreme Court Simulator - Institutional Design Evidence,One of the best available duration measures for post-judgment implementation. Minimum observed duration 1 month; maximum 25 months in accessible text snippet.
costaRicaPublicityAccelerationMonths,Costa Rica,around March–April 2010 press-conference intervention,2,2,2,about 2 months sooner,Difference in implementation timing for orders issued just after press conference,Orders issued just prior to press conference as comparison set,Medium-High,loose_calibration,Publicized monitoring / judicial shaming effect,"monitored implementation mechanism, intervention effect",The Costa Rican Supreme Court’s Compliance Monitoring System,Journal of Politics article page (turn32search1),Validation and calibration rows,Supreme Court Simulator - Institutional Design Evidence,Best evidence I found that publicity and compliance reporting can shorten implementation time.
echrPendingLeadingCasesTotal,Council of Europe / ECtHR execution system,end of 2025,1162,1162,1162,"1,162 leading cases pending",Pending leading cases,Total leading cases in member-state statistics chapter,High,proxy_context,Post-judgment execution before Committee of Ministers,official execution count,19th Annual Report of the Committee of Ministers on supervision of execution,Council of Europe annual report 2025 (turn15view0),Validation and calibration rows,Supreme Court Simulator - Institutional Design Evidence,"Direct measure of unresolved structural problems after rights judgments; chapter on member states, with Russia treated separately in a later chapter."
echrPendingLeadingCasesOver5YearsShare,Council of Europe / ECtHR execution system,end of 2025,0.453,0.453,0.453,45.3%,526 leading cases pending >5 years (207 enhanced + 319 standard),"1,162 pending leading cases",High,strict_validation,Long-tail execution delay after rights judgments,official duration backlog measure,19th Annual Report of the Committee of Ministers on supervision of execution,Council of Europe annual report 2025 (turn15view0),Validation and calibration rows,Supreme Court Simulator - Institutional Design Evidence,"Very strong stress-test parameter for backlog persistence. Comparability limit: supranational execution system, not domestic lower-court adjudication."
echrClosedLeadingCases2025,Council of Europe / ECtHR execution system,2025,194,194,194,194,Leading cases closed in 2025,Leading cases closed that year,High,proxy_context,Annual closure throughput in execution system,official execution throughput count,19th Annual Report of the Committee of Ministers on supervision of execution,Council of Europe annual report 2025 (turn15view0),Validation and calibration rows,Supreme Court Simulator - Institutional Design Evidence,"Use with pending stock to tune closure processes, not compliance propensity directly."
echrEnforcementDomesticJudgmentsThemeShare,Council of Europe / ECtHR execution system,2025,0.04,0.04,0.04,4%,Leading cases under enhanced supervision grouped under “Enforcement of domestic judicial decisions”,All leading cases under enhanced supervision thematic distribution,Medium,loose_calibration,Non-enforcement of domestic judgments within rights-execution system,"related mechanism, thematic share",19th Annual Report of the Committee of Ministers on supervision of execution,Council of Europe annual report 2025 (turn15view0),Validation and calibration rows,Supreme Court Simulator - Institutional Design Evidence,"Useful because it directly targets judicial non-enforcement, but it is a thematic share rather than a compliance rate."
federalAgencyImplementationSampleN,United States,1953–1990 Terms,220,220,220,220 observations,Agency implementations of Court opinions included in model,None; full analytic sample reported,High,proxy_context,Federal agency execution of Court opinions,sample-coverage metric,Explaining Federal Bureaucratic Compliance with Supreme Court Opinions,PRQ article page (turn11search2),Validation and calibration rows,Supreme Court Simulator - Institutional Design Evidence,Good for judging empirical weight of the agency-compliance evidence.
